new_municipality,AED_number,points_coordinates
"arlon, belgium",51,"(5.8104435, 49.6855173)"
"bastogne, belgium",33,"(5.715343700000001, 50.0006261)"
"marche-en-famenne, belgium",23,"(5.3438732, 50.2296999)"
"virton, belgium",18,"(5.531372999999999, 49.56726279999999)"
"libramont-chevigny, belgium",16,"(5.3775094, 49.9213714)"
"manhay, belgium",10,"(5.675540000000001, 50.2923741)"
"aubange, belgium",9,"(5.8040352, 49.5692827)"
"sainte-ode, belgium",9,"(5.5485704, 50.03699599999999)"
"bertrix, belgium",9,"(5.2527668, 49.8550951)"
"messancy, belgium",8,"(5.813588999999999, 49.5951549)"
"athus, belgium",8,"(5.834713799999999, 49.5628647)"
"neufchâteau, belgium",8,"(5.434201499999999, 49.841741)"
"tenneville, belgium",7,"(5.5244019, 50.0920187)"
"houffalize, belgium",7,"(5.7907565, 50.1324498)"
"durbuy, belgium",6,"(5.457099400000001, 50.3526585)"
"vielsalm, belgium",6,"(5.9145717, 50.283935)"
"fauvillers, belgium",6,"(5.6620979, 49.8515536)"
"la, belgium",6,"(4.469936, 50.503887)"
"gouvy, belgium",5,"(5.940230499999999, 50.1849871)"
"barvaux-sur-ourthe, belgium",5,"(5.4910127, 50.3505435)"
"bouillon, belgium",5,"(5.070639, 49.7946562)"
"florenville, belgium",5,"(5.3113728, 49.6978938)"
"meix-devant-virton, belgium",5,"(5.4794541, 49.60450609999999)"
"musson, belgium",5,"(5.705545, 49.5588554)"
"etalle, belgium",4,"(5.600236799999999, 49.6738918)"
"libin, belgium",4,"(5.2563444, 49.9829223)"
"houdemont, belgium",4,"(5.5840477, 49.7188508)"
"habay, belgium",4,"(5.619526800000001, 49.7235836)"
"saint-hubert, belgium",4,"(5.374619, 50.027544)"
"saint-mard, belgium",4,"(5.534676600000001, 49.5542548)"
"vaux-sur-sûre, belgium",4,"(5.567288899999999, 49.9105675)"
"attert, belgium",4,"(5.7863495, 49.75069020000001)"
"nassogne, belgium",3,"(5.341787999999999, 50.1290527)"
"paliseul, belgium",3,"(5.1350538, 49.9033848)"
"rendeux, belgium",3,"(5.5079187, 50.2360388)"
"tintigny, belgium",3,"(5.513442200000001, 49.6833021)"
"transinne, belgium",3,"(5.203564699999999, 50.000543)"
"recogne, belgium",3,"(5.360253000000001, 49.9110798)"
"wellin, belgium",3,"(5.1137497, 50.0819799)"
