new_municipality,AED_number,points_coordinates
"namur, belgium",92,"(4.865072899999999, 50.4649359)"
"gembloux, belgium",31,"(4.6919813, 50.5600392)"
"jambesnamur, belgium",21,"(4.871861399999999, 50.4563491)"
"ciney, belgium",19,"(5.1046942, 50.2956027)"
"andenne, belgium",16,"(5.0964753, 50.4911155)"
"dinant, belgium",16,"(4.9122308, 50.2607382)"
"beauraing, belgium",15,"(4.9553711, 50.1101777)"
"sambreville, belgium",14,"(4.6300557, 50.4494502)"
"malonne, belgium",12,"(4.79566, 50.43895999999999)"
"couvin, belgium",10,"(4.495750999999999, 50.0513597)"
"flawinne, belgium",9,"(4.81096, 50.45738)"
"floreffe, belgium",9,"(4.7601236, 50.4355374)"
"rochefort, belgium",8,"(5.221546, 50.16035609999999)"
"florennes, belgium",8,"(4.6047505, 50.2507458)"
"doische, belgium",8,"(4.7452029, 50.1355318)"
"saint-servais, belgium",7,"(4.8344548, 50.4766054)"
"naninne, belgium",7,"(4.9239001, 50.4185928)"
"philippeville, belgium",7,"(4.543195, 50.1960089)"
"sombreffe, belgium",6,"(4.6110213, 50.5251141)"
"walcourt, belgium",6,"(4.4348296, 50.2538646)"
"onhaye, belgium",5,"(4.840189899999999, 50.2425228)"
"mettet, belgium",5,"(4.6579517, 50.3202271)"
"eghezée, belgium",5,"(4.912777699999999, 50.5914387)"
"isnes, belgium",5,"(4.72827, 50.50598)"
"suarlée, belgium",5,"(4.778849999999999, 50.48195)"
"profondeville, belgium",5,"(4.8040854, 50.3875125)"
"beez, belgium",5,"(4.911834, 50.4686653)"
"fosses-la-ville, belgium",5,"(4.6960707, 50.3945192)"
"tamines, belgium",5,"(4.60819, 50.43353)"
"assesse, belgium",4,"(5.0251013, 50.36869)"
"bouge, belgium",4,"(4.8915392, 50.4719872)"
"hastière, belgium",4,"(4.84017, 50.19350439999999)"
"wépion, belgium",4,"(4.8633172, 50.421206)"
"belgrade, belgium",4,"(4.825648699999999, 50.47070189999999)"
"meux, belgium",4,"(4.80103, 50.55196)"
"fernelmont, belgium",4,"(4.9840973, 50.5572218)"
"emines, belgium",3,"(4.84469, 50.51212)"
"godinne, belgium",3,"(4.87325, 50.34788)"
"vedrin, belgium",3,"(4.876087699999999, 50.5022173)"
"jemelle, belgium",3,"(5.26623, 50.16249999999999)"
"erpent, belgium",3,"(4.9050011, 50.4516025)"
"anseremme, belgium",3,"(4.8995486, 50.2395723)"
"dave, belgium",3,"(4.887783499999999, 50.4143728)"
"natoye, belgium",3,"(5.05804, 50.34301)"
"loyers, belgium",3,"(4.9517789, 50.462857)"
"seilles, belgium",3,"(5.093116200000001, 50.50024140000001)"
"cerfontaine, belgium",3,"(4.4123684, 50.17062079999999)"
"grand-leez, belgium",2,"(4.77469, 50.58374)"
"hamois, belgium",2,"(5.156905399999999, 50.3409619)"
"han-sur-lesse, belgium",2,"(5.18756, 50.12542999999999)"
"mornimont, belgium",2,"(4.7043225, 50.4563509)"
"hanzinelle, belgium",2,"(4.55989, 50.29571000000001)"
"jemeppe-sur-sambre, belgium",2,"(4.6687027, 50.4660855)"
"leuzenam, belgium",2,"(4.7137645, 50.8822871)"
"ligny, belgium",2,"(4.57702, 50.51228)"
"noville-les-bois, belgium",2,"(4.98419, 50.55676)"
"rhisnes, belgium",2,"(4.80568, 50.50626)"
"saint-marc, belgium",2,"(4.847325, 50.49151490000001)"
"sart-bernard, belgium",2,"(4.96308, 50.40244)"
"wierde, belgium",2,"(4.9509671, 50.4260307)"
"gesves, belgium",2,"(5.0698435, 50.407129)"
"achêne, belgium",2,"(5.045634199999999, 50.2666792)"
"yvoir, belgium",2,"(4.878379, 50.3275335)"
"baillonville, belgium",2,"(5.338665, 50.2899325)"
"bièvre, belgium",2,"(5.016532, 49.9414232)"
"alle, belgium",2,"(4.469936, 50.503887)"
"floriffoux, belgium",2,"(4.77161, 50.45198000000001)"
"sommière, belgium",1,"(4.8428128, 50.2737609)"
"arsimont, belgium",1,"(4.6388, 50.42852999999999)"
"sinsin, belgium",1,"(5.254788, 50.2748559)"
"silenrieux, belgium",1,"(4.4121787, 50.22459310000001)"
"auvelais, belgium",1,"(4.63024, 50.44938)"
"schaltin, belgium",1,"(5.12452, 50.35894)"
"sauvenière, belgium",1,"(4.723479999999999, 50.58065)"
"sart-custinne, belgium",1,"(4.91675, 50.00147)"
"berzee, belgium",1,"(4.401510000000001, 50.28867)"
"baronville, belgium",1,"(4.944378599999999, 50.1271366)"
"sorinne-la-longue, belgium",1,"(5.02551, 50.3893)"
"beuzet, belgium",1,"(4.745839999999999, 50.53391)"
"biesme, belgium",1,"(4.61024, 50.33987)"
"bioul, belgium",1,"(4.7961, 50.33112)"
"purnode, belgium",1,"(4.94403, 50.31218)"
"pondrôme, belgium",1,"(5.010168, 50.0988595)"
"bohan, belgium",1,"(4.8853198, 49.8635093)"
"pesche, belgium",1,"(4.4586142, 50.0423072)"
"bois-de-villers, belgium",1,"(4.824079999999999, 50.39019)"
"somzée, belgium",1,"(4.483360000000001, 50.29517)"
"spy, belgium",1,"(4.7042186, 50.4796529)"
"sorinnes, belgium",1,"(4.978924300000001, 50.25924639999999)"
"viroinval, belgium",1,"(4.6069581, 50.07406779999999)"
"agimont, belgium",1,"(4.79594, 50.16573)"
"wiesme, belgium",1,"(4.9773685, 50.1484609)"
"aische-en-refail, belgium",1,"(4.83819, 50.59948)"
"warisoulx, belgium",1,"(4.86659, 50.5366)"
"wanlin, belgium",1,"(5.062029799999999, 50.15951339999999)"
"walhain, belgium",1,"(4.6954728, 50.6165549)"
"aiseau, belgium",1,"(4.58644, 50.41114)"
"vresse-sur-semois, belgium",1,"(4.9314596, 49.8720581)"
"vodecée, belgium",1,"(4.59308, 50.19795999999999)"
"villers-lez-heest, belgium",1,"(4.8456, 50.52993069999999)"
"oignies-en-thierache, belgium",1,"(4.6392754, 50.0238633)"
"velaine, belgium",1,"(4.61402, 50.4674)"
"aisemont, belgium",1,"(4.652089999999999, 50.40504)"
"thy-le-château, belgium",1,"(4.43265, 50.28077)"
"thy-le-bauduin, belgium",1,"(4.522959999999999, 50.29619)"
"temploux, belgium",1,"(4.75434, 50.48526)"
"anhée, belgium",1,"(4.8782847, 50.3106231)"
"stave, belgium",1,"(4.65924, 50.28002)"
"gedinne, belgium",1,"(4.9366482, 49.979726)"
"frasnes, belgium",1,"(3.619494, 50.6667771)"
"nismes, belgium",1,"(4.5483364, 50.0748018)"
"dourbes, belgium",1,"(4.5919434, 50.0916165)"
"durnal, belgium",1,"(4.986619999999999, 50.33629999999999)"
"acoz, belgium",1,"(4.53391, 50.35858)"
"houyet, belgium",1,"(5.0073202, 50.185947)"
"hingeon, belgium",1,"(5.00687, 50.52545)"
"heer, belgium",1,"(4.832079999999999, 50.16347)"
"havelange, belgium",1,"(5.2381899, 50.3895393)"
