new_municipality,AED_number,points_coordinates
"gent, belgium",171,"(3.7303351, 51.0500182)"
"sint-niklaas, belgium",61,"(4.1386501, 51.1653295)"
"aalst, belgium",39,"(4.0424216, 50.9407315)"
"wetteren, belgium",35,"(3.880317099999999, 51.0031237)"
"dendermonde, belgium",28,"(4.1020474, 51.0254985)"
"oudenaarde, belgium",28,"(3.6023525, 50.8459459)"
"lokeren, belgium",27,"(3.9895048, 51.1040179)"
"deinze, belgium",27,"(3.526467, 50.97678579999999)"
"aalter, belgium",26,"(3.4483498, 51.0873768)"
"temse, belgium",21,"(4.213669299999999, 51.127542)"
"ronse, belgium",20,"(3.5997497, 50.7461817)"
"eeklo, belgium",20,"(3.564071, 51.1851666)"
"merelbeke, belgium",19,"(3.745505099999999, 50.9945558)"
"evergem, belgium",17,"(3.7099673, 51.1098423)"
"zwijnaarde, belgium",16,"(3.7106183, 50.99980619999999)"
"zulte, belgium",16,"(3.4438618, 50.9219223)"
"lochristi, belgium",15,"(3.8445923, 51.0991802)"
"zottegem, belgium",15,"(3.8099756, 50.871424)"
"erembodegem, belgium",14,"(4.060892, 50.9206095)"
"ninove, belgium",14,"(4.0187415, 50.83364359999999)"
"sint-denijs-westrem, belgium",14,"(3.669579299999999, 51.0200854)"
"melle, belgium",13,"(3.8005343, 51.0036374)"
"geraardsbergen, belgium",13,"(3.8822568, 50.7715168)"
"lede, belgium",12,"(3.9774135, 50.9657266)"
"desteldonk, belgium",12,"(3.782569099999999, 51.1220868)"
"zele, belgium",12,"(4.039897, 51.0685143)"
"beveren-waas, belgium",11,"(4.257960700000001, 51.2133887)"
"sint-martens-latem, belgium",10,"(3.6331183, 51.0090594)"
"wortegem-petegem, belgium",10,"(3.5104883, 50.8521149)"
"denderleeuw, belgium",10,"(4.059974200000001, 50.89570620000001)"
"gentbrugge, belgium",10,"(3.7592682, 51.0432117)"
"maldegem, belgium",10,"(3.4487502, 51.2090352)"
"sint-gillis-waas, belgium",10,"(4.1242431, 51.219922)"
"kruishoutem, belgium",10,"(3.5281414, 50.90449899999999)"
"hamme, belgium",9,"(4.1381593, 51.1000589)"
"drongen, belgium",9,"(3.6633, 51.05048)"
"oostakker, belgium",8,"(3.7642304, 51.09971299999999)"
"zelzate, belgium",8,"(3.8124589, 51.1982474)"
"wondelgem, belgium",8,"(3.7160657, 51.09050089999999)"
"erpe-mere, belgium",8,"(3.957330799999999, 50.9270095)"
"nazareth, belgium",8,"(3.595468099999999, 50.9596557)"
"herzele, belgium",8,"(3.8928574, 50.88446949999999)"
"denderhoutem, belgium",8,"(4.0184815, 50.8709652)"
"brakel, belgium",8,"(3.7639169, 50.8028094)"
"mariakerke, belgium",7,"(3.680642, 51.0736204)"
"sint-amandsberg, belgium",7,"(3.7509905, 51.0593304)"
"assenede, belgium",7,"(3.7511451, 51.2269689)"
"destelbergen, belgium",7,"(3.8035822, 51.03271119999999)"
"berlare, belgium",7,"(4.0037381, 51.0252302)"
"melsele, belgium",7,"(4.2822314, 51.2224882)"
"appelterre-eichem, belgium",7,"(3.9669736, 50.8187951)"
"bavegem, belgium",6,"(3.8657862, 50.9442706)"
"wachtebeke, belgium",6,"(3.8606427, 51.1710158)"
"kallo, belgium",6,"(4.278681199999999, 51.2526476)"
"doel, belgium",6,"(4.264974899999999, 51.31059759999999)"
