new_municipality,AED_number,points_coordinates
"leuven, belgium",71,"(4.7137645, 50.8822871)"
"zaventem, belgium",57,"(4.4727595, 50.8798215)"
"tienen, belgium",36,"(4.937104499999999, 50.8096628)"
"vilvoorde, belgium",34,"(4.4258375, 50.926454)"
"heverlee, belgium",32,"(4.6958889, 50.86260720000001)"
"asse, belgium",23,"(4.200385799999999, 50.9106775)"
"diegem, belgium",22,"(4.4362628, 50.8940397)"
"overijse, belgium",21,"(4.5342712, 50.7708411)"
"grimbergen, belgium",20,"(4.3732334, 50.93360449999999)"
"diest, belgium",17,"(5.0555869, 50.979655)"
"machelen, belgium",15,"(4.433286499999999, 50.9128001)"
"kampenhout, belgium",14,"(4.555153199999999, 50.9398455)"
"halle, belgium",13,"(4.2337053, 50.7381601)"
"dilbeek, belgium",13,"(4.2756162, 50.8449649)"
"aarschot, belgium",12,"(4.836879, 50.9877846)"
"londerzeel, belgium",12,"(4.3025851, 51.00470079999999)"
"groot-bijgaarden, belgium",11,"(4.2500012, 50.8719066)"
"merchtem, belgium",11,"(4.2324226, 50.9584729)"
"zellik, belgium",11,"(4.27401, 50.88449)"
"landen, belgium",11,"(5.0813206, 50.7547714)"
"kraainem, belgium",10,"(4.457452300000001, 50.86178100000001)"
"rotselaar, belgium",10,"(4.716218, 50.9537491)"
"kessel-lo, belgium",10,"(4.73571, 50.88514)"
"keerbergen, belgium",9,"(4.6323148, 51.0030408)"
"ternat, belgium",9,"(4.1609053, 50.86993409999999)"
"haacht, belgium",8,"(4.6339895, 50.9770224)"
"drogenbos, belgium",8,"(4.3172707, 50.7872348)"
"wezembeek-oppem, belgium",8,"(4.4936075, 50.8399611)"
"herent, belgium",8,"(4.677376499999999, 50.9092587)"
"nossegem, belgium",8,"(4.5074739, 50.8781921)"
"wemmel, belgium",8,"(4.3065753, 50.9077704)"
"lubbeek, belgium",7,"(4.8411415, 50.88171939999999)"
"roosdaal, belgium",7,"(4.0760675, 50.842885)"
"sint-pieters-leeuw, belgium",7,"(4.245613, 50.780993)"
"hoeilaart, belgium",7,"(4.4742969, 50.7675858)"
"kortenberg, belgium",7,"(4.5441288, 50.8883868)"
"wolvertem, belgium",6,"(4.30927, 50.95088)"
"boortmeerbeek, belgium",6,"(4.5611679, 50.9760115)"
"hoegaarden, belgium",6,"(4.8873881, 50.7741677)"
"lennik, belgium",6,"(4.1545887, 50.80529929999999)"
"oud-heverlee, belgium",6,"(4.7021275, 50.826001)"
"sint-stevens-woluwe, belgium",6,"(4.450322799999999, 50.8691316)"
"steenokkerzeel, belgium",6,"(4.5127344, 50.9101884)"
"liedekerke, belgium",6,"(4.087712199999999, 50.8692265)"
"kapelle-op-den-bos, belgium",6,"(4.3608698, 51.0111095)"
"tervuren, belgium",5,"(4.5081065, 50.8254692)"
"sint-genesius-rode, belgium",5,"(4.3552963, 50.7455947)"
"strombeek-bever, belgium",5,"(4.3546661, 50.9095358)"
"gooik, belgium",5,"(4.1171215, 50.795315)"
"boutersem, belgium",5,"(4.8347718, 50.8410698)"
"kortenaken, belgium",5,"(5.0600315, 50.9091318)"
"glabbeek, belgium",5,"(4.955757, 50.872929)"
"linkebeek, belgium",5,"(4.332298199999999, 50.7721895)"
"machelenbt, belgium",5,"(4.469936, 50.503887)"
"opwijk, belgium",4,"(4.1800657, 50.9696721)"
"huizingen, belgium",4,"(4.27369, 50.74657)"
"zemst, belgium",4,"(4.4599908, 50.9801617)"
"begijnendijk, belgium",4,"(4.7827948, 51.0187676)"
"meise, belgium",4,"(4.329669, 50.9355319)"
"lot, belgium",4,"(4.27707, 50.76777999999999)"
