new_municipality,cardiac_arrests_number,points_coordinates
"antwerpen, belgium",318,"(4.4051485, 51.2213404)"
"deurne, belgium",155,"(4.4595994, 51.2203758)"
"mechelen, belgium",124,"(4.4775553, 51.0259143)"
"merksem, belgium",74,"(4.4489277, 51.2508917)"
"wilrijk, belgium",73,"(4.3942868, 51.1683102)"
"borgerhout, belgium",72,"(4.4488977, 51.2090363)"
"hoboken, belgium",69,"(4.3500096, 51.1775434)"
"berchem, belgium",59,"(4.4188392, 51.1955771)"
"geel, belgium",57,"(4.9907929, 51.1626132)"
"schoten, belgium",57,"(4.4979217, 51.2494528)"
"brasschaat, belgium",56,"(4.4915511, 51.2901086)"
"lier, belgium",54,"(4.5675409, 51.133455)"
"mol, belgium",49,"(5.1154096, 51.1872257)"
"turnhout, belgium",48,"(4.9375577, 51.3216509)"
"mortsel, belgium",44,"(4.4492707, 51.1708718)"
"kapellen, belgium",39,"(4.4295178, 51.3149716)"
"ekeren, belgium",38,"(4.4175641, 51.2771047)"
"balen, belgium",29,"(5.167686499999999, 51.17041469999999)"
"edegem, belgium",29,"(4.4313468, 51.1561016)"
"herentals, belgium",28,"(4.836376599999999, 51.1771658)"
"kontich, belgium",27,"(4.4448813, 51.1352373)"
"boom, belgium",26,"(4.3649456, 51.08979679999999)"
"wommelgem, belgium",25,"(4.5226616, 51.20303939999999)"
"schilde, belgium",24,"(4.5791748, 51.2390988)"
"oud-turnhout, belgium",24,"(4.982241999999999, 51.3179033)"
"hoevenen, belgium",24,"(4.4047295, 51.3061855)"
"willebroek, belgium",23,"(4.3610481, 51.0621814)"
"zoersel, belgium",22,"(4.7123589, 51.2674174)"
"meerhout, belgium",22,"(5.0770596, 51.132046)"
"schelle, belgium",21,"(4.3384253, 51.1274676)"
"heist-op-den-berg, belgium",19,"(4.7270671, 51.075058)"
"putte, belgium",19,"(4.6287983, 51.0548716)"
"zwijndrecht, belgium",19,"(4.3290469, 51.2157101)"
"aartselaar, belgium",19,"(4.3874914, 51.1344849)"
"berlaar, belgium",19,"(4.6574139, 51.1180942)"
"rijkevorsel, belgium",18,"(4.7604695, 51.3493012)"
"olen, belgium",18,"(4.903903, 51.16873340000001)"
"merksplas, belgium",17,"(4.8643467, 51.3541789)"
"wijnegem, belgium",17,"(4.5194994, 51.2270747)"
"oostmalle, belgium",17,"(4.7337542, 51.301137)"
"essen, belgium",16,"(4.468516999999999, 51.4677647)"
