new_municipality,cardiac_arrests_number,points_coordinates
"bruxelles, belgium",90,"(4.3571696, 50.8476424)"
"jette, belgium",58,"(4.3173436, 50.8854006)"
"elsene, belgium",51,"(4.366433, 50.8335711)"
"anderlecht, belgium",50,"(4.3069041, 50.83492709999999)"
"uccle, belgium",39,"(4.340949999999999, 50.8027666)"
"schaerbeek, belgium",34,"(4.3773347, 50.8674778)"
"oudergem, belgium",20,"(4.4263428, 50.8165284)"
"sint-lambrechts-woluwe, belgium",18,"(4.4243679, 50.8429581)"
"neder-over-heembeek, belgium",14,"(4.3880767, 50.8953309)"
"etterbeek, belgium",6,"(4.3899848, 50.8305816)"
"vorst, belgium",5,"(4.3247165, 50.8100773)"
