new_municipality,AED_number,points_coordinates
"antwerpen, belgium",323,"(4.4051485, 51.2213404)"
"mechelen, belgium",86,"(4.4775553, 51.0259143)"
"turnhout, belgium",48,"(4.9375577, 51.3216509)"
"berchem, belgium",39,"(4.4188392, 51.1955771)"
"lier, belgium",38,"(4.5675409, 51.133455)"
"wilrijk, belgium",35,"(4.3942868, 51.1683102)"
"herentals, belgium",34,"(4.836376599999999, 51.1771658)"
"geel, belgium",33,"(4.9907929, 51.1626132)"
"kontich, belgium",31,"(4.4448813, 51.1352373)"
"schoten, belgium",29,"(4.4979217, 51.2494528)"
"mol, belgium",27,"(5.1154096, 51.1872257)"
"bornem, belgium",27,"(4.2355695, 51.0994496)"
"brasschaat, belgium",26,"(4.4915511, 51.2901086)"
"aartselaar, belgium",25,"(4.3874914, 51.1344849)"
"willebroek, belgium",23,"(4.3610481, 51.0621814)"
"westerlo, belgium",22,"(4.9144481, 51.08996880000001)"
"kasterlee, belgium",22,"(4.9673618, 51.2404924)"
"kapellen, belgium",20,"(4.4295178, 51.3149716)"
"olen, belgium",20,"(4.903903, 51.16873340000001)"
"puurs, belgium",18,"(4.2783654, 51.07097350000001)"
"beerse, belgium",18,"(4.855942499999999, 51.3197704)"
"malle, belgium",18,"(4.6941522, 51.29677359999999)"
"balen, belgium",18,"(5.167686499999999, 51.17041469999999)"
"arendonk, belgium",17,"(5.0776492, 51.3227802)"
"hoboken, belgium",17,"(4.3500096, 51.1775434)"
"merksem, belgium",16,"(4.4489277, 51.2508917)"
"deurne, belgium",15,"(4.4595994, 51.2203758)"
"edegem, belgium",15,"(4.4313468, 51.1561016)"
"kalmthout, belgium",15,"(4.4750964, 51.3829237)"
"hoogstraten, belgium",13,"(4.7615606, 51.4015935)"
"wommelgem, belgium",13,"(4.5226616, 51.20303939999999)"
"dessel, belgium",13,"(5.112964799999999, 51.2392534)"
"duffel, belgium",13,"(4.504767699999999, 51.09522279999999)"
"merksplas, belgium",13,"(4.8643467, 51.3541789)"
"sint-katelijne-waver, belgium",12,"(4.5314072, 51.0703915)"
"schilde, belgium",12,"(4.5791748, 51.2390988)"
"oud-turnhout, belgium",12,"(4.982241999999999, 51.3179033)"
"mortsel, belgium",12,"(4.4492707, 51.1708718)"
"brecht, belgium",12,"(4.6380512, 51.3497216)"
"wijnegem, belgium",11,"(4.5194994, 51.2270747)"
"zwijndrecht, belgium",11,"(4.3290469, 51.2157101)"
"grobbendonk, belgium",11,"(4.7386455, 51.1892264)"
"hemiksem, belgium",10,"(4.3382869, 51.1452459)"
"heist-op-den-berg, belgium",10,"(4.7270671, 51.075058)"
"essen, belgium",10,"(4.468516999999999, 51.4677647)"
"putte, belgium",9,"(4.6287983, 51.0548716)"
"borgerhout, belgium",8,"(4.4488977, 51.2090363)"
"berlaar, belgium",8,"(4.6574139, 51.1180942)"
"herselt, belgium",7,"(4.8807744, 51.0523235)"
"bonheiden, belgium",7,"(4.548149599999999, 51.02225660000001)"
"oevel, belgium",7,"(4.9042615, 51.1387198)"
"ranst, belgium",7,"(4.5640917, 51.1878252)"
"boom, belgium",7,"(4.3649456, 51.08979679999999)"
"ekeren, belgium",7,"(4.4175641, 51.2771047)"
"stabroek, belgium",7,"(4.3627753, 51.3310835)"
"hove, belgium",7,"(4.4707058, 51.1539096)"
"herenthout, belgium",7,"(4.7564019, 51.1394824)"
"lille, belgium",6,"(4.823159599999999, 51.2418705)"
"meer, belgium",6,"(4.7383, 51.4456)"
"rijkevorsel, belgium",6,"(4.7604695, 51.3493012)"
"schelle, belgium",5,"(4.3384253, 51.1274676)"
"tielen, belgium",5,"(4.8976789, 51.2434976)"
"vorselaar, belgium",5,"(4.7726104, 51.20245449999999)"
"wuustwezel, belgium",5,"(4.5907442, 51.3892386)"
"boechout, belgium",5,"(4.496417000000001, 51.1662733)"
"rumst, belgium",4,"(4.4127203, 51.1010868)"
"zandhoven, belgium",4,"(4.656535499999999, 51.2135303)"
"vosselaar, belgium",4,"(4.8882048, 51.3130992)"
"breendonk, belgium",4,"(4.322039999999999, 51.04309)"
"weelde, belgium",4,"(4.9908357, 51.406763)"
"rijmenam, belgium",4,"(4.5856815, 51.00204590000001)"
"ravels, belgium",4,"(4.9936577, 51.37142790000001)"
"burcht, belgium",4,"(4.34148, 51.20367)"
"borsbeek, belgium",4,"(4.4791807, 51.19469429999999)"
"nijlen, belgium",4,"(4.6702241, 51.16109729999999)"
"beerzel, belgium",4,"(4.66764, 51.05786)"
"meerhout, belgium",4,"(5.0770596, 51.132046)"
"niel, belgium",3,"(4.3320602, 51.1107065)"
"hulshout, belgium",3,"(4.7888868, 51.0755943)"
"retie, belgium",3,"(5.084274499999999, 51.2673661)"
"broechem, belgium",3,"(4.6020124, 51.1813334)"
"minderhout, belgium",3,"(4.763389999999999, 51.41654)"
"westmalle, belgium",3,"(4.694263299999999, 51.2968136)"
"kessel, belgium",3,"(4.62968, 51.13915)"
"massenhoven, belgium",2,"(4.636424700000001, 51.1986273)"
"booischot, belgium",2,"(4.77523, 51.05151)"
"koningshooikt, belgium",2,"(4.61011, 51.09522)"
"meerle, belgium",2,"(4.803769, 51.4733516)"
"laakdal, belgium",2,"(4.9871942, 51.06997579999999)"
"eindhout, belgium",2,"(4.9997, 51.10334)"
"lint, belgium",2,"(4.4967809, 51.12735)"
"zoersel, belgium",2,"(4.7123589, 51.2674174)"
"tisselt, belgium",2,"(4.35717, 51.03437)"
"zemst, belgium",2,"(4.4599908, 50.9801617)"
"pulderbos, belgium",2,"(4.6919, 51.2165685)"
"onze-lieve-vrouw-waver, belgium",2,"(4.5787019, 51.0618859)"
"leest, belgium",2,"(4.4176682, 51.0328978)"
"muizen, belgium",2,"(4.5157593, 51.0103798)"
"noorderwijk, belgium",2,"(4.8388348, 51.1393923)"
"oelegem, belgium",2,"(4.599714899999999, 51.2129972)"
"oostmalle, belgium",2,"(4.7337542, 51.301137)"
"blaasveld, belgium",2,"(4.37719, 51.05583000000001)"
"lichtaart, belgium",2,"(4.9108088, 51.2197251)"
"hombeek, belgium",2,"(4.442769699999999, 51.014356)"
"wechelderzande, belgium",1,"(4.7999275, 51.26453559999999)"
"vlimmeren, belgium",1,"(4.782045399999999, 51.2971394)"
"waarloos, belgium",1,"(4.454695900000001, 51.105061)"
"baarle-hertog, belgium",1,"(4.9318189, 51.4415736)"
"wortel, belgium",1,"(4.79475, 51.39751)"
"eikevliet, belgium",1,"(4.30336, 51.0933)"
"wintam, belgium",1,"(4.29845, 51.10672)"
"viersel, belgium",1,"(4.6523097, 51.18901839999999)"
"westmeerbeek, belgium",1,"(4.8351, 51.06032)"
"zoerle-parwijs, belgium",1,"(4.868939999999999, 51.08879)"
"zandvliet, belgium",1,"(4.30716, 51.35964999999999)"
"londerzeel, belgium",1,"(4.3025851, 51.00470079999999)"
"veerle, belgium",1,"(4.987210000000001, 51.06994)"
"tongerlo, belgium",1,"(4.915649999999999, 51.10533)"
"loenhout, belgium",1,"(4.6432288, 51.3990063)"
"lillo, belgium",1,"(4.28026, 51.30436)"
"lille-poederlee, belgium",1,"(4.8353147, 51.2263125)"
