new_municipality,AED_number,points_coordinates
"nivelles, belgium",64,"(4.3272603, 50.5991762)"
"wavre, belgium",52,"(4.611248000000001, 50.7133122)"
"louvain-la-neuve, belgium",48,"(4.6118324, 50.66808100000001)"
"braine-l alleud, belgium",36,"(4.3752398, 50.6852975)"
"waterloo, belgium",22,"(4.3991201, 50.7147661)"
"tubize, belgium",16,"(4.2070847, 50.692887)"
"la hulpe, belgium",13,"(4.482143499999999, 50.7303908)"
"jodoigne, belgium",11,"(4.8712894, 50.7233726)"
"grez-doiceau, belgium",11,"(4.6957027, 50.7384929)"
"ottignies, belgium",10,"(4.5669046, 50.665465)"
"walhain, belgium",10,"(4.6954728, 50.6165549)"
"mont-saint-guibert, belgium",9,"(4.6116858, 50.6362496)"
"perwez, belgium",9,"(4.815123499999999, 50.6241986)"
"rixensart, belgium",8,"(4.5301329, 50.7125685)"
"court-saint-etienne, belgium",8,"(4.5632038, 50.6485892)"
"genval, belgium",7,"(4.49388, 50.7211)"
"limal, belgium",7,"(4.5732954, 50.6934506)"
"bierges, belgium",7,"(4.587168399999999, 50.7113795)"
"lasne, belgium",6,"(4.482946099999999, 50.6846593)"
"chastre, belgium",6,"(4.6372258, 50.6083574)"
"chaumont-gistoux, belgium",5,"(4.6946405, 50.6839246)"
"genappe, belgium",5,"(4.4506241, 50.6106962)"
"braine-le-château, belgium",5,"(4.272866899999999, 50.6831291)"
"beauvechain, belgium",5,"(4.7728065, 50.7803349)"
"baisy-thy, belgium",5,"(4.4760976, 50.59698760000001)"
"thines, belgium",5,"(4.36846, 50.59734)"
"incourt, belgium",5,"(4.7993743, 50.6916859)"
"corbais, belgium",4,"(4.6457258, 50.6444941)"
"marbais, belgium",4,"(4.5351225, 50.54638180000001)"
"rebecq, belgium",4,"(4.132533599999999, 50.66227809999999)"
"saintes, belgium",4,"(4.15817, 50.70615)"
"hélécine, belgium",4,"(4.9881737, 50.75691690000001)"
"orp-jauche, belgium",3,"(4.9898058, 50.7030082)"
"villers-la-ville, belgium",3,"(4.5351311, 50.54637289999999)"
"wauthier-braine, belgium",3,"(4.29806, 50.68121)"
"ramillies, belgium",2,"(4.9150431, 50.6363186)"
"ittre, belgium",2,"(4.259249, 50.6461199)"
"thorembais, belgium",2,"(4.78646, 50.63465)"
"rosières, belgium",2,"(4.54441, 50.73014999999999)"
"hamme-mille, belgium",2,"(4.71694, 50.77953)"
"lillois-witterzée, belgium",2,"(4.36712, 50.64567)"
"clabecq, belgium",2,"(4.22163, 50.69212)"
"quenast, belgium",2,"(4.157332, 50.6729162)"
"plancenoit, belgium",1,"(4.42863, 50.66196)"
"ottignies-louvain-la-neuve, belgium",1,"(4.5670329, 50.6658053)"
", belgium",1,"(4.469936, 50.503887)"
"sart-dames-avelines, belgium",1,"(4.4917395, 50.5685048)"
"therenbais les beguines, belgium",1,"(4.817279999999999, 50.65799)"
"vieux-genappe, belgium",1,"(4.4405969, 50.6082918)"
"virginal-samme, belgium",1,"(4.20587, 50.63983)"
"ways, belgium",1,"(4.464496899999999, 50.6104429)"
"limelette, belgium",1,"(4.565957399999999, 50.67030459999999)"
"orbais, belgium",1,"(4.76323, 50.63757)"
"baulers, belgium",1,"(4.35387, 50.61341)"
"bierghes, belgium",1,"(4.1195104, 50.6956998)"
"bousval, belgium",1,"(4.5051441, 50.6149444)"
"bruxelles, belgium",1,"(4.3571696, 50.8476424)"
"ceroux-mousty, belgium",1,"(4.5204882, 50.660369)"
"chastre-villeroux-blanmont, belgium",1,"(4.617, 50.59999999999999)"
"haut-ittre, belgium",1,"(4.298249999999999, 50.65357)"
"hoeilaart, belgium",1,"(4.4742969, 50.7675858)"
"houtain-le-val, belgium",1,"(4.4113773, 50.5829629)"
"huppaye, belgium",1,"(4.893829999999999, 50.69347)"
"hévillers, belgium",1,"(4.6154602, 50.6215801)"
"jandrain-jandrenouille, belgium",1,"(4.97308, 50.65472)"
"jauche, belgium",1,"(4.9547, 50.68298)"
"archennes, belgium",1,"(4.669868, 50.7524768)"
"loupoigne, belgium",1,"(4.4445799, 50.59780989999999)"
"nethen, belgium",1,"(4.6741168, 50.7837825)"
"ohain, belgium",1,"(4.46919, 50.69907)"
"opprebais, belgium",1,"(4.79819, 50.67946)"
"zétrud-lumay, belgium",1,"(4.885899999999999, 50.75792)"
