new_municipality,AED_number,points_coordinates
"brugge, belgium",68,"(3.2247552, 51.2091807)"
"oostende, belgium",53,"(2.9091818, 51.2246631)"
"kortrijk, belgium",50,"(3.2543899, 50.826806)"
"roeselare, belgium",49,"(3.1292766, 50.9498725)"
"waregem, belgium",41,"(3.4318203, 50.8867025)"
"izegem, belgium",33,"(3.2133625, 50.9180338)"
"nieuwpoort, belgium",30,"(2.7480379, 51.1284296)"
"koksijde, belgium",29,"(2.6501559, 51.1054229)"
"ieper, belgium",29,"(2.8779388, 50.8492265)"
"tielt, belgium",23,"(3.3261192, 51.00004)"
"knokke-heist, belgium",19,"(3.287162, 51.3410989)"
"sint-andries, belgium",18,"(3.1794755, 51.1972024)"
"middelkerke, belgium",17,"(2.8209053, 51.18513309999999)"
"harelbeke, belgium",17,"(3.3107149, 50.8566979)"
"menen, belgium",15,"(3.1215356, 50.79625490000001)"
"torhout, belgium",14,"(3.1014139, 51.0662109)"
"oostkamp, belgium",13,"(3.2355133, 51.1545918)"
"de, belgium",13,"(4.469936, 50.503887)"
"veurne, belgium",12,"(2.6680397, 51.073177)"
"diksmuide, belgium",12,"(2.8639376, 51.0316593)"
"wevelgem, belgium",12,"(3.1848187, 50.8091017)"
"bredene, belgium",12,"(2.9694055, 51.238587)"
"meulebeke, belgium",11,"(3.2901394, 50.94864680000001)"
"oostrozebeke, belgium",11,"(3.3287686, 50.9205848)"
"blankenberge, belgium",11,"(3.1326709, 51.3124017)"
"deerlijk, belgium",10,"(3.3550981, 50.8541019)"
"zeebrugge, belgium",10,"(3.2068507, 51.3189468)"
"wielsbeke, belgium",9,"(3.3726103, 50.9099221)"
"assebroek, belgium",9,"(3.2550607, 51.20202339999999)"
"beernem, belgium",9,"(3.327833, 51.135044)"
"kuurne, belgium",9,"(3.2871717, 50.85398540000001)"
"ledegem, belgium",9,"(3.1233949, 50.8589295)"
"wingene, belgium",8,"(3.2748763, 51.0587001)"
"poperinge, belgium",8,"(2.726943, 50.855593)"
"de haan, belgium",8,"(3.0297205, 51.2769942)"
"heule, belgium",8,"(3.23472, 50.8431958)"
"pittem, belgium",8,"(3.2665389, 50.99314529999999)"
"beveren, belgium",7,"(4.257960700000001, 51.2133887)"
"langemark-poelkapelle, belgium",7,"(2.9205259, 50.913564)"
"ruiselede, belgium",7,"(3.39667, 51.0409443)"
"heuvelland, belgium",6,"(2.8310063, 50.7825384)"
"houthulst, belgium",6,"(2.9457422, 50.9773819)"
"knokke, belgium",6,"(3.2894423, 51.3467441)"
"jabbeke, belgium",6,"(3.0949017, 51.1830119)"
"gullegem, belgium",6,"(3.1989718, 50.8447689)"
"staden, belgium",6,"(3.0145745, 50.9746511)"
"vichte, belgium",6,"(3.4030323, 50.8378727)"
"bissegem, belgium",6,"(3.2280954, 50.82411030000001)"
"zedelgem, belgium",6,"(3.1369631, 51.142285)"
"avelgem, belgium",6,"(3.4433947, 50.7720156)"
"oudenburg, belgium",5,"(3.0042344, 51.182657)"
"kortemark, belgium",5,"(3.0441095, 51.028517)"
"ingelmunster, belgium",5,"(3.2536111, 50.9205829)"
"anzegem, belgium",5,"(3.4787448, 50.834992)"
"lichtervelde, belgium",5,"(3.1438026, 51.0277525)"
"loppem, belgium",4,"(3.1959225, 51.1559088)"
"rumbeke, belgium",4,"(3.1560374, 50.9332448)"
"moorslede, belgium",4,"(3.0633461, 50.8912006)"
"ooigem, belgium",4,"(3.3365046, 50.8933706)"
"hooglede, belgium",4,"(3.0814404, 50.9785832)"
"de panne, belgium",4,"(2.58877, 51.09547509999999)"
"zonnebeke, belgium",4,"(3.0018193, 50.87572369999999)"
"zwevegem, belgium",4,"(3.3327954, 50.8130242)"
"aarsele, belgium",4,"(3.4224989, 50.99693430000001)"
"sint-eloois-vijve, belgium",3,"(3.4098713, 50.90348849999999)"
"vleteren, belgium",3,"(2.736823, 50.9317417)"
"wervik, belgium",3,"(3.0449082, 50.7840561)"
"westende, belgium",3,"(2.7759824, 51.1687058)"
"markekortrijk, belgium",3,"(3.2335928, 50.8070105)"
"aalbeke, belgium",3,"(3.2299377, 50.7784023)"
"desselgem, belgium",3,"(3.3494059, 50.8868997)"
"lauwe, belgium",3,"(3.1849946, 50.7946478)"
"gistel, belgium",3,"(2.9539942, 51.1494969)"
"ardooie, belgium",3,"(3.199218300000001, 50.97682959999999)"
"ichtegem, belgium",3,"(3.0106044, 51.092857)"
"beveren-leie, belgium",3,"(3.3465118, 50.873981)"
"emelgem, belgium",3,"(3.2178679, 50.9271506)"
"leffinge, belgium",2,"(2.87711, 51.17567)"
"geluwe, belgium",2,"(3.0767048, 50.8099859)"
"rekkem, belgium",2,"(3.1641132, 50.782807)"
"ruddervoorde, belgium",2,"(3.2065193, 51.095941)"
"eernegem, belgium",2,"(3.0274313, 51.1295248)"
"dudzele, belgium",2,"(3.2247366, 51.2736603)"
"sint-michiels, belgium",2,"(3.2082098, 51.1858939)"
"oostnieuwkerke, belgium",2,"(3.0642828, 50.9423778)"
"dentergem, belgium",2,"(3.4190114, 50.96344310000001)"
"damme, belgium",2,"(3.281448, 51.2512548)"
"vlamertinge, belgium",2,"(2.8243473, 50.8536639)"
"watou, belgium",2,"(2.6206457, 50.8588172)"
"bellegem, belgium",2,"(3.2784441, 50.77660299999999)"
"bekegem, belgium",2,"(3.0453899, 51.1597289)"
"aartrijke, belgium",2,"(3.0900761, 51.1191667)"
"handzame, belgium",2,"(3.0031283, 51.025671)"
"egem, belgium",2,"(3.2590301, 51.0148444)"
"moorsele, belgium",2,"(3.1646335, 50.8405959)"
"hulste, belgium",2,"(3.2982426, 50.8804452)"
"moen, belgium",2,"(3.3974267, 50.7699733)"
"oostduinkerke, belgium",2,"(2.6901458, 51.1172798)"
"koolskamp, belgium",2,"(3.2117867, 51.0019392)"
"kachtem, belgium",2,"(3.1924033, 50.93188240000001)"
"beselare, belgium",1,"(3.024675, 50.84788)"
"mesen, belgium",1,"(2.897714300000001, 50.763799)"
"brielen, belgium",1,"(2.8501053, 50.867386)"
"waardamme, belgium",1,"(3.2193165, 51.1133317)"
"beverenroeselare, belgium",1,"(3.1443098, 50.9685498)"
"meetkerke, belgium",1,"(3.1514099, 51.2350824)"
"westouter, belgium",1,"(2.7464372, 50.7971484)"
"westrozebeke, belgium",1,"(3.012283, 50.931897)"
"heestert, belgium",1,"(3.410366, 50.7826441)"
"krombeke, belgium",1,"(2.6885943, 50.9148551)"
"dadizele, belgium",1,"(3.0944555, 50.8516407)"
"wijtschate, belgium",1,"(2.8831131, 50.7858578)"
"langemark, belgium",1,"(2.920005, 50.9135965)"
