new_municipality,cardiac_arrests_number,points_coordinates
"braine-l'alleud, belgium",24,"(4.3752398, 50.6852975)"
"waterloo, belgium",20,"(4.3991201, 50.7147661)"
"nivelles, belgium",18,"(4.3272603, 50.5991762)"
"rixensart, belgium",14,"(4.5301329, 50.7125685)"
"wavre, belgium",12,"(4.611248000000001, 50.7133122)"
"louvain-la-neuve, belgium",11,"(4.6118324, 50.66808100000001)"
"court-saint-etienne, belgium",11,"(4.5632038, 50.6485892)"
"jodoigne, belgium",8,"(4.8712894, 50.7233726)"
"hulpe, belgium",7,"(4.482143499999999, 50.7303908)"
"jauche, belgium",7,"(4.9547, 50.68298)"
"perwez, belgium",7,"(4.815123499999999, 50.6241986)"
"tubize, belgium",7,"(4.2070847, 50.692887)"
"opheylissem, belgium",5,"(4.977466499999999, 50.7477492)"
"loupoigne, belgium",5,"(4.4445799, 50.59780989999999)"
"bierghes, belgium",5,"(4.1195104, 50.6956998)"
"saintes, belgium",4,"(4.15817, 50.70615)"
"ophain-bois-seigneur-isaac, belgium",4,"(4.348860000000001, 50.66642)"
"neerheylissem, belgium",4,"(4.9872002, 50.7551532)"
"wauthier-braine, belgium",4,"(4.29806, 50.68121)"
"ottignies, belgium",4,"(4.5669046, 50.665465)"
"archennes, belgium",4,"(4.669868, 50.7524768)"
"bousval, belgium",4,"(4.5051441, 50.6149444)"
"limal, belgium",3,"(4.5732954, 50.6934506)"
"mont-saint-guibert, belgium",3,"(4.6116858, 50.6362496)"
"lasne-chapelle-saint-lambert, belgium",3,"(4.5039619, 50.693345)"
"rebecq-rognon, belgium",3,"(4.132656300000001, 50.66592929999999)"
"ittre, belgium",3,"(4.259249, 50.6461199)"
"marbais, belgium",3,"(4.5351225, 50.54638180000001)"
"chaumont, belgium",2,"(4.61233, 50.23117)"
"corbais, belgium",2,"(4.6457258, 50.6444941)"
"pietrebais, belgium",2,"(4.763809999999999, 50.72796)"
"huppaye, belgium",2,"(4.893829999999999, 50.69347)"
"sart-dames-avelines, belgium",2,"(4.4917395, 50.5685048)"
"thines, belgium",2,"(4.36846, 50.59734)"
"tourinnes-la-grosse, belgium",2,"(4.74445, 50.78281)"
"braine-le-chateau, belgium",2,"(4.272866899999999, 50.6831291)"
"bomal, belgium",2,"(5.52348, 50.37901)"
"corroy-le-grand, belgium",2,"(4.67458, 50.66206)"
"ohain, belgium",2,"(4.46919, 50.69907)"
"lillois-witterzee, belgium",2,"(4.36712, 50.64567)"
"beauvechain, belgium",2,"(4.7728065, 50.7803349)"
"nil-saint-vincent-saint-martin, belgium",2,"(4.679819999999999, 50.64214)"
"glimes, belgium",2,"(4.83774, 50.6796)"
"dion-valmont, belgium",2,"(4.469936, 50.503887)"
"jemappes, belgium",2,"(3.8990501, 50.4479352)"
"mont-saint-andre, belgium",2,"(4.86451, 50.65524)"
"geest-gèrompont-petit-rosiëre, belgium",2,"(4.85744, 50.64088)"
"dion-le-val, belgium",2,"(4.66156, 50.7163)"
"genval, belgium",2,"(4.49388, 50.7211)"
"jodoigne-souveraine, belgium",2,"(4.83678, 50.70898)"
"couture-saint-germain, belgium",1,"(4.472519999999999, 50.67502)"
"genappe, belgium",1,"(4.4506241, 50.6106962)"
"ceroux-mousty, belgium",1,"(4.5204882, 50.660369)"
"ramillies-offus, belgium",1,"(4.915168, 50.635971)"
"clabecq, belgium",1,"(4.22163, 50.69212)"
"rosieres, belgium",1,"(4.54441, 50.73014999999999)"
