new_municipality,cardiac_arrests_number,points_coordinates
"mons, belgium",40,"(3.952313499999999, 50.45466340000001)"
"tournai, belgium",31,"(3.3880967, 50.6055398)"
"courcelles, belgium",26,"(4.333294599999999, 50.4633104)"
"charleroi, belgium",24,"(4.44601, 50.4096349)"
"marcinelle, belgium",22,"(4.4276538, 50.39526900000001)"
"mouscron, belgium",22,"(3.2138924, 50.7430519)"
"jemappes, belgium",21,"(3.8990501, 50.4479352)"
"ghlin, belgium",18,"(3.8877424, 50.46429639999999)"
"gilly, belgium",18,"(4.4772151, 50.4254594)"
"soignies, belgium",16,"(4.0666287, 50.57930349999999)"
"lodelinsart, belgium",15,"(4.447179999999999, 50.43150929999999)"
"jumet, belgium",15,"(4.4370311, 50.44272489999999)"
"louviere, belgium",15,"(4.181464099999999, 50.4766336)"
"quaregnon, belgium",14,"(3.8645844, 50.4443998)"
"trazegnies, belgium",14,"(4.3301766, 50.4626925)"
"gosselies, belgium",14,"(4.431955900000001, 50.4687201)"
"braine-le-comte, belgium",13,"(4.1354981, 50.61055)"
"montignies-sur-sambre, belgium",13,"(4.4777803, 50.4018544)"
"couillet, belgium",13,"(4.458941800000001, 50.3914084)"
"comines, belgium",12,"(2.9997061, 50.76874590000001)"
"hestre, belgium",12,"(4.24592, 50.47672)"
"lessines, belgium",11,"(3.8289742, 50.7125126)"
"gerpinnes, belgium",11,"(4.5276846, 50.3364965)"
"anderlues, belgium",11,"(4.2726016, 50.4058698)"
"herseaux, belgium",10,"(3.2326156, 50.722568)"
"ath, belgium",10,"(3.7727254, 50.6340486)"
"fleurus, belgium",10,"(4.550135399999999, 50.4831209)"
"tertre, belgium",10,"(3.8118542, 50.4668162)"
"marchienne-au-pont, belgium",9,"(4.3957235, 50.4055222)"
"gozee, belgium",9,"(4.351614, 50.33345749999999)"
"houdeng-goegnies, belgium",9,"(4.15428, 50.48815)"
"saint-vaast, belgium",9,"(4.16036, 50.45431)"
"montigny-le-tilleul, belgium",9,"(4.374504, 50.38082929999999)"
"kain, belgium",9,"(3.3788194, 50.63799729999999)"
"saint-ghislain, belgium",8,"(3.8169701, 50.4705544)"
"deux-acren, belgium",8,"(3.8540312, 50.7289132)"
"mont-sur-marchienne, belgium",8,"(4.405457999999999, 50.3886584)"
"dour, belgium",8,"(3.7785252, 50.3966366)"
"ecaussinnes-d'enghien, belgium",8,"(4.1538788, 50.5608812)"
"leuze, belgium",8,"(3.6264718, 50.6000761)"
"farciennes, belgium",8,"(4.5476376, 50.4313689)"
"baudour, belgium",8,"(3.8377399, 50.4832756)"
"cuesmes, belgium",8,"(3.9240678, 50.4362266)"
"thuin, belgium",8,"(4.2869141, 50.34060909999999)"
"hornu, belgium",8,"(3.8297469, 50.43086719999999)"
"dampremy, belgium",8,"(4.4308155, 50.4171274)"
"binche, belgium",8,"(4.1661503, 50.4124176)"
"seneffe, belgium",8,"(4.2567751, 50.53310459999999)"
"chatelet, belgium",8,"(4.5181885, 50.4039515)"
"chatelineau, belgium",7,"(4.51986, 50.41533)"
"boussu, belgium",7,"(3.7956691, 50.4339141)"
"ch‚telineau, belgium",7,"(4.469936, 50.503887)"
"peruwelz, belgium",7,"(3.5913215, 50.5096011)"
"haine-saint-pierre, belgium",7,"(4.1996, 50.45413)"
"thimeon, belgium",6,"(4.4297958, 50.485343)"
"roux, belgium",6,"(4.3859913, 50.4411759)"
"manage, belgium",6,"(4.23529, 50.50303)"
"ellezelles, belgium",6,"(3.6798889, 50.7338964)"
"monceau-sur-sambre, belgium",6,"(4.376359, 50.4166487)"
"chapelle-lez-herlaimont, belgium",6,"(4.2837102, 50.46727240000001)"
"roselies, belgium",6,"(4.57179, 50.42978)"
"stree, belgium",6,"(4.288815, 50.2750402)"
"wasmes, belgium",6,"(3.8449946, 50.4219636)"
"carnieres, belgium",6,"(4.2549, 50.44139)"
"blaton, belgium",5,"(3.6598433, 50.4992803)"
"hyon, belgium",5,"(3.9607279, 50.4395855)"
"houdeng-aimeries, belgium",5,"(4.1446, 50.48578)"
"rouveroy, belgium",5,"(4.06213, 50.35543999999999)"
"haine-saint-paul, belgium",5,"(4.19126, 50.45312999999999)"
"fontaine-l'eveque, belgium",5,"(4.3211663, 50.4136315)"
