new_municipality,cardiac_arrests_number,points_coordinates
"liege, belgium",118,"(5.569749799999999, 50.63295859999999)"
"seraing, belgium",28,"(5.5141067, 50.6099816)"
"verviers, belgium",26,"(5.8666876, 50.5911266)"
"grace-berleur, belgium",24,"(5.5019, 50.64001)"
"spa, belgium",23,"(5.862288800000001, 50.49231)"
"herstal, belgium",17,"(5.6391753, 50.6699566)"
"jupille-sur-meuse, belgium",16,"(5.634880000000001, 50.64547)"
"huy, belgium",16,"(5.239582899999999, 50.5187076)"
"grivegnee, belgium",15,"(5.61074, 50.6216)"
"stembert, belgium",15,"(5.892887399999999, 50.5923294)"
"fleron, belgium",14,"(5.6825373, 50.6146662)"
"vise, belgium",13,"(5.701429099999999, 50.7360829)"
"rocourt, belgium",13,"(5.545947399999999, 50.67592140000001)"
"bressoux, belgium",12,"(5.6059, 50.63994)"
"jemeppe-sur-meuse, belgium",12,"(5.4951966, 50.6175969)"
"malmedy, belgium",11,"(6.0260509, 50.4259565)"
"theux, belgium",11,"(5.813206099999999, 50.5349309)"
"vottem, belgium",11,"(5.578469699999999, 50.6710455)"
"ougree, belgium",11,"(5.539413199999999, 50.5933486)"
"romsee, belgium",10,"(5.664504, 50.610608)"
"waremme, belgium",10,"(5.2600869, 50.69814359999999)"
"ensival, belgium",10,"(5.8460072, 50.5812596)"
"amay, belgium",10,"(5.3168469, 50.547289)"
"eupen, belgium",10,"(6.030266399999999, 50.63211039999999)"
"soumagne, belgium",10,"(5.7356349, 50.6313687)"
"angleur, belgium",9,"(5.599430000000001, 50.61134999999999)"
"chenee, belgium",9,"(5.613700000000001, 50.61219999999999)"
"esneux, belgium",8,"(5.567425999999999, 50.5358025)"
"wandre, belgium",8,"(5.65883, 50.66715)"
"robertville, belgium",8,"(6.122141999999999, 50.4545013)"
"sprimont, belgium",8,"(5.6613874, 50.507178)"
"mons-crotteux, belgium",8,"(3.952313499999999, 50.45466340000001)"
"montegnee, belgium",7,"(5.514139999999999, 50.64534)"
"micheroux, belgium",7,"(5.72117, 50.6265063)"
"thommen, belgium",7,"(6.07391, 50.21821)"
"glain, belgium",7,"(5.54357, 50.64785999999999)"
"ans, belgium",6,"(5.5303911, 50.6561076)"
"wasseiges, belgium",6,"(5.0055311, 50.62271980000001)"
"sougne-remouchamps, belgium",6,"(5.71185, 50.47987)"
"bellaire, belgium",6,"(5.6654339, 50.64498820000001)"
"dison, belgium",6,"(5.8540016, 50.6099463)"
"oupeye, belgium",6,"(5.6439897, 50.7093251)"
"saint-georges-sur-meuse, belgium",6,"(5.3575963, 50.600071)"
"saive, belgium",6,"(5.6858939, 50.6530557)"
"heusy, belgium",6,"(5.866282099999999, 50.57454449999999)"
"neuville-en-condroz, belgium",6,"(5.4511519, 50.5524877)"
"flemalle-haute, belgium",5,"(5.4459559, 50.6001541)"
"glons, belgium",5,"(5.545018, 50.7520728)"
"aywaille, belgium",5,"(5.6758188, 50.4735308)"
"wanze, belgium",5,"(5.2145209, 50.537209)"
"tilff, belgium",5,"(5.5759823, 50.5640699)"
"loncin, belgium",4,"(5.50521, 50.66623999999999)"
"liers, belgium",4,"(5.563828099999999, 50.693646)"
"louveigne, belgium",4,"(5.7162168, 50.5302309)"
"milmort, belgium",4,"(5.5922106, 50.6903579)"
"mons-lez-liege, belgium",4,"(5.4558943, 50.623374)"
"kettenis, belgium",4,"(6.046895999999999, 50.6472977)"
"moxhe, belgium",4,"(5.08346, 50.63057)"
"ivoz-ramet, belgium",4,"(5.4638963, 50.5883864)"
"sart-lez-spa, belgium",4,"(5.9319544, 50.516858)"
"stavelot, belgium",4,"(5.9304654, 50.3940531)"
"wonck, belgium",4,"(5.6358592, 50.7669118)"
"vivegnis, belgium",4,"(5.6467328, 50.6948109)"
"alleur, belgium",4,"(5.51338, 50.67434)"
"battice, belgium",4,"(5.8207169, 50.6474662)"
"beyne-heusay, belgium",4,"(5.651679100000001, 50.6231947)"
"engis, belgium",4,"(5.4046647, 50.5813314)"
"gleize, belgium",4,"(5.849151399999999, 50.41126)"
"burg-reuland, belgium",4,"(6.1360199, 50.1955908)"
"baelen, belgium",4,"(5.9704221, 50.63092349999999)"
"antheit, belgium",4,"(5.2403601, 50.5489545)"
"comblain-la-tour, belgium",4,"(5.5717044, 50.4542848)"
"andrimont, belgium",4,"(5.8844864, 50.6139966)"
"gleixhe, belgium",4,"(5.3893727, 50.61301460000001)"
"ferrieres, belgium",4,"(5.6055737, 50.4002998)"
"couthuin, belgium",4,"(5.1224958, 50.53145259999999)"
"amel, belgium",4,"(6.1683691, 50.3543793)"
"embourg, belgium",4,"(5.6069213, 50.59030389999999)"
"eben-emael, belgium",3,"(5.6656377, 50.7933169)"
"lierneux, belgium",3,"(5.794654899999999, 50.28360199999999)"
"faymonville, belgium",3,"(6.1408548, 50.4027387)"
"tilleur, belgium",3,"(5.54253, 50.61757)"
"meeffe, belgium",3,"(5.01821, 50.60749999999999)"
"verlaine, belgium",3,"(5.312306299999999, 50.61078819999999)"
"melen, belgium",3,"(5.7359996, 50.6460486)"
"ben-ahin, belgium",3,"(5.1852407, 50.5019819)"
"beverce, belgium",3,"(6.035721, 50.4409143)"
"housse, belgium",3,"(5.6910818, 50.6789837)"
"thisnes, belgium",3,"(5.04677, 50.6658)"
"henri-chapelle, belgium",3,"(5.9301078, 50.67663839999999)"
"hauset, belgium",3,"(6.0696188, 50.7104323)"
"hannut, belgium",3,"(5.0778963, 50.67208309999999)"
"chaudfontaine, belgium",2,"(5.6061229, 50.5928267)"
"chevron, belgium",2,"(3.7361547, 51.0367958)"
"calamine, belgium",2,"(6.0118139, 50.7163786)"
"chimay, belgium",2,"(4.3146556, 50.0476421)"
"saint-severin, belgium",2,"(5.4112136, 50.5298269)"
"clermont, belgium",2,"(5.884551399999999, 50.6590232)"
"clermont-sous-huy, belgium",2,"(5.3918142, 50.569391)"
"recht, belgium",2,"(6.043093, 50.33406309999999)"
"queue-du-bois, belgium",2,"(5.6789257, 50.6373747)"
"poucet, belgium",2,"(5.11653, 50.67588000000001)"
"gravenvoeren, belgium",2,"(5.7611628, 50.7587829)"
"trooz, belgium",2,"(5.673059500000001, 50.5786181)"
"trivieres, belgium",2,"(4.14802, 50.45041)"
"trois-ponts, belgium",2,"(5.8710684, 50.3722575)"
"xhendelesse, belgium",2,"(5.7782579, 50.6050929)"
"wihogne, belgium",2,"(5.506690799999999, 50.72713040000001)"
"werbomont, belgium",2,"(5.68396, 50.38037)"
"welkenraedt, belgium",2,"(5.9721281, 50.6609106)"
"wasmes, belgium",2,"(3.8449946, 50.4219636)"
"barchon, belgium",2,"(5.69992, 50.66866)"
"waimes, belgium",2,"(6.109596, 50.4144444)"
"bastogne, belgium",2,"(5.715343700000001, 50.0006261)"
"voroux-lez-liers, belgium",2,"(5.5549161, 50.6875929)"
"battignies, belgium",2,"(4.16889, 50.41690999999999)"
"villers-le-temple, belgium",2,"(5.3595062, 50.5173291)"
"villers-le-peuplier, belgium",2,"(5.095840000000001, 50.6562)"
"villers-le-bouillet, belgium",2,"(5.2662739, 50.5699577)"
"ville-en-hesbaye, belgium",2,"(5.1159028, 50.6157563)"
"vieuxville, belgium",2,"(5.54955, 50.39379)"
"beaufays, belgium",2,"(5.6387873, 50.5586829)"
"vaux-sous-chevremont, belgium",2,"(5.6318794, 50.60105069999999)"
"plainevaux, belgium",2,"(5.524289, 50.5453134)"
"petit-rechain, belgium",2,"(5.83447, 50.6144)"
"lessines, belgium",2,"(3.8289742, 50.7125126)"
"louviere, belgium",2,"(4.181464099999999, 50.4766336)"
"limbourg, belgium",2,"(5.9418874, 50.6202975)"
"lens-sur-geer, belgium",2,"(5.350989999999999, 50.72114)"
"foret, belgium",2,"(4.469936, 50.503887)"
"jemelle, belgium",2,"(5.26623, 50.16249999999999)"
"jemappes, belgium",2,"(3.8990501, 50.4479352)"
"geer, belgium",2,"(5.1741795, 50.6698756)"
"iveldingen, belgium",2,"(6.1337535, 50.3618965)"
"gembloux, belgium",2,"(4.6919813, 50.5600392)"
"houtain-saint-simeon, belgium",2,"(5.6118142, 50.7398627)"
"hollogne-aux-pierres, belgium",2,"(5.47084, 50.64033999999999)"
"hognoul, belgium",2,"(5.4543405, 50.6814461)"
"hodeige, belgium",2,"(5.34167, 50.69607000000001)"
"gilly, belgium",2,"(4.4772151, 50.4254594)"
"heure-le-romain, belgium",2,"(5.6332813, 50.7313994)"
