new_municipality,cardiac_arrests_number,points_coordinates
"hasselt, belgium",67,"(5.3425633, 50.9326432)"
"genk, belgium",62,"(5.5021822, 50.9662102)"
"sint-truiden, belgium",40,"(5.1819977, 50.818835)"
"lommel, belgium",38,"(5.309601900000001, 51.2306827)"
"tongeren, belgium",32,"(5.4601943, 50.7799815)"
"houthalen, belgium",27,"(5.376354099999999, 51.03146270000001)"
"lanaken, belgium",23,"(5.6572499, 50.89200899999999)"
"overpelt, belgium",20,"(5.3970123, 51.1970553)"
"antwerpen, belgium",19,"(4.4051485, 51.2213404)"
"eisden, belgium",18,"(5.714076899999999, 50.9854566)"
"herk-de-stad, belgium",17,"(5.1672236, 50.9392785)"
"maasmechelen, belgium",17,"(5.701778000000001, 50.9797203)"
"beringen, belgium",16,"(5.21862, 51.04793)"
"neeroeteren, belgium",16,"(5.699538599999999, 51.0918046)"
"beverst, belgium",16,"(5.475171, 50.8902246)"
"waterschei-zwartberg, belgium",15,"(5.522749999999999, 51.00336)"
"hechtel, belgium",14,"(5.3661124, 51.1252349)"
"koersel, belgium",14,"(5.27176, 51.05844)"
"bree, belgium",12,"(5.5965788, 51.13992440000001)"
"lanklaar, belgium",12,"(5.7262, 51.0188)"
"neerpelt, belgium",12,"(5.43173, 51.22723999999999)"
"bilzen, belgium",12,"(5.5173432, 50.87007029999999)"
"maaseik, belgium",11,"(5.785918800000001, 51.0962791)"
"heppen, belgium",11,"(5.2285739, 51.10887349999999)"
"zonhoven, belgium",10,"(5.367178099999999, 50.9871179)"
"zolder, belgium",10,"(5.3097324, 51.0229535)"
"kwaadmechelen, belgium",10,"(5.144159999999999, 51.10072)"
"wilrijk, belgium",10,"(4.3942868, 51.1683102)"
"eksel, belgium",10,"(5.394354499999999, 51.1546138)"
"paal, belgium",10,"(5.166286299999999, 51.0324973)"
"borgloon, belgium",10,"(5.3405024, 50.8032367)"
"diepenbeek, belgium",10,"(5.4197659, 50.9088864)"
"opglabbeek, belgium",10,"(5.58412, 51.04316)"
"halen, belgium",9,"(5.1111189, 50.9484643)"
"lummen, belgium",8,"(5.1951475, 50.9876997)"
"zutendaal, belgium",8,"(5.5725111, 50.931987)"
"hamont, belgium",8,"(5.54953, 51.25272)"
"as, belgium",8,"(5.5884303, 51.0070217)"
"rotem, belgium",8,"(5.74118, 51.05296999999999)"
"leopoldsburg, belgium",8,"(5.258598500000001, 51.1162188)"
"hoeselt, belgium",8,"(5.4899231, 50.8485788)"
"opoeteren, belgium",6,"(5.6594443, 51.0675622)"
"heusden, belgium",6,"(3.8036959, 51.0327975)"
"meeuwen, belgium",6,"(5.5205, 51.09867)"
"peer, belgium",6,"(5.4533318, 51.133088)"
"mechelen, belgium",6,"(4.4775553, 51.0259143)"
"nieuwerkerken, belgium",6,"(5.1885911, 50.8647429)"
"neerharen, belgium",6,"(5.6808314, 50.9088851)"
"tessenderlo, belgium",6,"(5.088359899999999, 51.0647584)"
"millen, belgium",6,"(5.5561104, 50.7856375)"
"stevoort, belgium",6,"(5.253159999999999, 50.9183)"
"zichen-zussen-bolder, belgium",6,"(5.6245555, 50.7933496)"
"aartselaar, belgium",6,"(4.3874914, 51.1344849)"
"elen, belgium",6,"(5.75083, 51.06655)"
"berbroek, belgium",6,"(5.2083451, 50.9503306)"
"beverlo, belgium",6,"(5.21898, 51.0873)"
"dilsen, belgium",6,"(5.72215, 51.03747)"
"turnhout, belgium",5,"(4.9375577, 51.3216509)"
"willebroek, belgium",5,"(4.3610481, 51.0621814)"
"montenaken, belgium",5,"(5.12721, 50.72101)"
"oostham, belgium",4,"(5.18022, 51.10373)"
"helchteren, belgium",4,"(5.3826921, 51.05655119999999)"
"deurne, belgium",4,"(4.4595994, 51.2203758)"
"kontich, belgium",4,"(4.4448813, 51.1352373)"
"munsterbilzen, belgium",4,"(5.5261669, 50.88973259999999)"
"molenbeersel, belgium",4,"(5.737579999999999, 51.17002)"
"kortessem, belgium",4,"(5.387039199999999, 50.8573554)"
"schilde, belgium",4,"(4.5791748, 51.2390988)"
"membruggen, belgium",4,"(5.5343399, 50.8141975)"
"lauw, belgium",4,"(3.1849946, 50.7946478)"
"dilsen-stokkem, belgium",4,"(5.7293042, 51.0360907)"
"riksingen, belgium",4,"(5.4632976, 50.8051007)"
"heks, belgium",4,"(5.35751, 50.7701)"
"kermt, belgium",4,"(5.246760000000001, 50.94767)"
"schoten, belgium",4,"(4.4979217, 51.2494528)"
"linkhout, belgium",4,"(5.13687, 50.96812)"
"sint-huibrechts-lille, belgium",4,"(5.49576, 51.22251)"
"sint-lambrechts-herk, belgium",4,"(5.30741, 50.89841)"
"stokrooie, belgium",4,"(5.28134, 50.96619)"
"termolen, belgium",4,"(5.415210000000001, 50.98636)"
"veldwezelt, belgium",4,"(5.6305961, 50.8677788)"
"gravenvoeren, belgium",4,"(5.7611628, 50.7587829)"
"vorselaar, belgium",4,"(4.7726104, 51.20245449999999)"
"wellen, belgium",4,"(5.338333599999999, 50.8404709)"
"zelem, belgium",4,"(5.1057744, 50.9781579)"
"alken, belgium",4,"(5.306757999999999, 50.8891784)"
"schulen, belgium",3,"(5.1904844, 50.959958)"
"burcht, belgium",3,"(4.34148, 51.20367)"
"lier, belgium",3,"(4.5675409, 51.133455)"
"achel, belgium",3,"(5.47953, 51.25224)"
"hoepertingen, belgium",3,"(5.283679999999999, 50.81235)"
"hoboken, belgium",3,"(4.3500096, 51.1775434)"
"grote-brogel, belgium",3,"(5.50838, 51.15435000000001)"
