new_municipality,cardiac_arrests_number,points_coordinates
"arlon, belgium",26,"(5.8104435, 49.6855173)"
"saint-mard, belgium",17,"(5.534676600000001, 49.5542548)"
"athus, belgium",15,"(5.834713799999999, 49.5628647)"
"bastogne, belgium",15,"(5.715343700000001, 50.0006261)"
"marche-en-famenne, belgium",13,"(5.3438732, 50.2296999)"
"messancy, belgium",13,"(5.813588999999999, 49.5951549)"
"bouillon, belgium",11,"(5.070639, 49.7946562)"
"libramont, belgium",10,"(5.3775094, 49.9213714)"
"vielsalm, belgium",10,"(5.9145717, 50.283935)"
"sainte-marie-sur-semois, belgium",10,"(5.5640506, 49.6714022)"
"bertrix, belgium",9,"(5.2527668, 49.8550951)"
"florenville, belgium",8,"(5.3113728, 49.6978938)"
"habay-la-neuve, belgium",7,"(5.6460452, 49.7280718)"
"roche-en-ardenne, belgium",7,"(5.5760901, 50.1799954)"
"marloie, belgium",6,"(5.31675, 50.19905)"
"barvaux-sur-ourthe, belgium",6,"(5.4910127, 50.3505435)"
"amberloup, belgium",6,"(5.5296068, 50.0317221)"
"libin, belgium",5,"(5.2563444, 49.9829223)"
"bomal-sur-ourthe, belgium",5,"(5.52348, 50.37901)"
"noirefontaine, belgium",5,"(5.0942677, 49.8202036)"
"frameries, belgium",5,"(3.8934891, 50.4069902)"
"wellin, belgium",5,"(5.1137497, 50.0819799)"
"bellefontaine, belgium",5,"(4.9726249, 49.917607)"
"martelange, belgium",4,"(5.738987, 49.833676)"
"namur, belgium",4,"(4.865072899999999, 50.4649359)"
"wolkrange, belgium",4,"(5.7994452, 49.63374229999999)"
"heyd, belgium",4,"(5.561879999999999, 50.34725)"
"hotton, belgium",4,"(5.447280399999999, 50.268395)"
"juseret, belgium",4,"(5.549258699999999, 49.8797422)"
"dochamps, belgium",4,"(5.62343, 50.23277)"
"longlier, belgium",4,"(5.45288, 49.85543999999999)"
"virton, belgium",4,"(5.531372999999999, 49.56726279999999)"
"bonnert, belgium",4,"(5.8187693, 49.71089809999999)"
"bulles, belgium",4,"(5.4239144, 49.7042122)"
"neuville, belgium",4,"(4.51452, 50.17249)"
"thiaumont, belgium",4,"(5.7307767, 49.7153956)"
"champlon, belgium",4,"(5.5021264, 50.10745319999999)"
"carlsbourg, belgium",4,"(5.082243699999999, 49.89470120000001)"
"sainte-marie-chevigny, belgium",4,"(5.4582979, 49.9234787)"
"seraing, belgium",4,"(5.5141067, 50.6099816)"
"morhet, belgium",3,"(5.584158299999999, 49.9633899)"
"jamoigne, belgium",3,"(5.4146049, 49.694871)"
"framont, belgium",3,"(5.1605186, 49.9192841)"
"gedinne, belgium",3,"(4.9366482, 49.979726)"
"sainte-cecile, belgium",3,"(5.2428643, 49.7296613)"
"quaregnon, belgium",3,"(3.8645844, 50.4443998)"
"wardin, belgium",3,"(5.788247399999999, 49.9911002)"
"paliseul, belgium",3,"(5.1350538, 49.9033848)"
"moresnet, belgium",3,"(5.988995900000001, 50.721135)"
"malmedy, belgium",3,"(6.0260509, 50.4259565)"
"vivy, belgium",3,"(5.0384163, 49.866876)"
"nisramont, belgium",3,"(5.646479999999999, 50.13551)"
"saint-hubert, belgium",3,"(5.374619, 50.027544)"
"yvoir, belgium",3,"(4.878379, 50.3275335)"
"ciney, belgium",3,"(5.1046942, 50.2956027)"
"bonsin, belgium",3,"(5.3826276, 50.3740147)"
"arville, belgium",3,"(5.3193343, 50.0323784)"
"aubange, belgium",3,"(5.8040352, 49.5692827)"
"bleid, belgium",3,"(5.6280964, 49.5693096)"
"chenois, belgium",3,"(5.55241, 49.55748)"
"beffe, belgium",3,"(5.52355, 50.24502)"
"chassepierre, belgium",3,"(5.2603388, 49.7076672)"
"oupeye, belgium",2,"(5.6439897, 50.7093251)"
"redu, belgium",2,"(5.1597629, 50.0075195)"
"buissonville, belgium",2,"(5.201860000000001, 50.2164)"
"purnode, belgium",2,"(4.94403, 50.31218)"
"pousset, belgium",2,"(5.3042, 50.69476)"
"peruwelz, belgium",2,"(3.5913215, 50.5096011)"
"buret, belgium",2,"(5.869619999999999, 50.09768)"
"noville, belgium",2,"(5.7607706, 50.0637281)"
"orsinfaing, belgium",2,"(5.519419999999999, 49.71583)"
"on, belgium",2,"(4.469936, 50.503887)"
"rochehaut, belgium",2,"(5.0076505, 49.84118789999999)"
"chantemelle, belgium",2,"(5.6526951, 49.6529102)"
"neufch‚teau, belgium",2,"(5.434201499999999, 49.841741)"
"nadrin, belgium",2,"(5.6827858, 50.159002)"
"cheratte, belgium",2,"(5.6707829, 50.6837494)"
"montigny-le-tilleul, belgium",2,"(4.374504, 50.38082929999999)"
"mons-lez-liege, belgium",2,"(5.4558943, 50.623374)"
"rochefort, belgium",2,"(5.221546, 50.16035609999999)"
"mormont, belgium",2,"(5.5930056, 50.3254541)"
"rouvroy, belgium",2,"(5.4907216, 49.5385998)"
"ruette, belgium",2,"(5.5949257, 49.5365538)"
"annevoie-rouillon, belgium",2,"(4.84882, 50.34738)"
"witry, belgium",2,"(5.6131081, 49.8596108)"
"autelbas, belgium",2,"(5.868176999999999, 49.64829839999999)"
"villers-la-loue, belgium",2,"(5.482156700000001, 49.57456759999999)"
"villers-devant-orval, belgium",2,"(5.331440199999999, 49.61963240000001)"
"verviers, belgium",2,"(5.8666876, 50.5911266)"
"transinne, belgium",2,"(5.203564699999999, 50.000543)"
"tournai, belgium",2,"(3.3880967, 50.6055398)"
"toernich, belgium",2,"(5.7791223, 49.652491)"
"tintigny, belgium",2,"(5.513442200000001, 49.6833021)"
"beyne-heusay, belgium",2,"(5.651679100000001, 50.6231947)"
"tenneville, belgium",2,"(5.5244019, 50.0920187)"
"suxy, belgium",2,"(5.399348499999999, 49.7639751)"
"sibret, belgium",2,"(5.6341847, 49.9706602)"
"seneffe, belgium",2,"(4.2567751, 50.53310459999999)"
"blegny, belgium",2,"(5.7253228, 50.6729178)"
"saint-medard, belgium",2,"(5.32805, 49.81182)"
"chiny, belgium",2,"(5.3426748, 49.7406917)"
"rulles, belgium",2,"(5.5596208, 49.7184613)"
"houdeng-aimeries, belgium",2,"(4.1446, 50.48578)"
"halanzy, belgium",2,"(5.743234699999999, 49.5565078)"
"grez-doiceau, belgium",2,"(4.6957027, 50.7384929)"
"grandcourt, belgium",2,"(5.603359999999999, 49.52697999999999)"
"erneuville, belgium",2,"(5.5493302, 50.1128285)"
"anloy, belgium",2,"(5.221725999999999, 49.9494863)"
"izel, belgium",2,"(5.3722119, 49.6937299)"
"gosselies, belgium",2,"(4.431955900000001, 50.4687201)"
"jambes, belgium",2,"(4.871861399999999, 50.4563491)"
"heinsch, belgium",2,"(5.7464653, 49.6995172)"
"ecaussinnes-d'enghien, belgium",2,"(4.1538788, 50.5608812)"
"froyennes, belgium",2,"(3.3471214, 50.6229047)"
"ebly, belgium",2,"(5.5404417, 49.8531341)"
"gèrompont, belgium",2,"(4.88169, 50.64847)"
"limerlè, belgium",2,"(5.9243825, 50.1572636)"
"dison, belgium",2,"(5.8540016, 50.6099463)"
"ethe, belgium",2,"(5.5819087, 49.5796692)"
"hamipre, belgium",2,"(5.45735, 49.83749)"
"maffe, belgium",2,"(5.3114, 50.35351)"
"malempre, belgium",2,"(5.712429999999999, 50.28173)"
"ham-sur-sambre, belgium",2,"(4.6735065, 50.4426813)"
