new_municipality,cardiac_arrests_number,points_coordinates
"namur, belgium",48,"(4.865072899999999, 50.4649359)"
"jambes, belgium",35,"(4.871861399999999, 50.4563491)"
"ciney, belgium",19,"(5.1046942, 50.2956027)"
"dinant, belgium",15,"(4.9122308, 50.2607382)"
"andenne, belgium",13,"(5.0964753, 50.4911155)"
"flawinne, belgium",10,"(4.81096, 50.45738)"
"saint-servais, belgium",9,"(4.8344548, 50.4766054)"
"seilles, belgium",8,"(5.093116200000001, 50.50024140000001)"
"tamines, belgium",8,"(4.60819, 50.43353)"
"dave, belgium",8,"(4.887783499999999, 50.4143728)"
"champion, belgium",7,"(4.469936, 50.503887)"
"mettet, belgium",6,"(4.6579517, 50.3202271)"
"ham-sur-sambre, belgium",6,"(4.6735065, 50.4426813)"
"auvelais, belgium",6,"(4.63024, 50.44938)"
"bois-de-villers, belgium",6,"(4.824079999999999, 50.39019)"
"nismes, belgium",6,"(4.5483364, 50.0748018)"
"saint-gerard, belgium",6,"(4.740699999999999, 50.34597)"
"laneffe, belgium",6,"(4.4909, 50.27743)"
"spy, belgium",5,"(4.7042186, 50.4796529)"
"philippeville, belgium",5,"(4.543195, 50.1960089)"
"anseremme, belgium",5,"(4.8995486, 50.2395723)"
"walcourt, belgium",4,"(4.4348296, 50.2538646)"
"gedinne, belgium",4,"(4.9366482, 49.979726)"
"gilly, belgium",4,"(4.4772151, 50.4254594)"
"gourdinne, belgium",4,"(4.4578, 50.29004)"
"verviers, belgium",4,"(5.8666876, 50.5911266)"
"annevoie-rouillon, belgium",4,"(4.84882, 50.34738)"
"couvin, belgium",4,"(4.495750999999999, 50.0513597)"
"bouge, belgium",4,"(4.8915392, 50.4719872)"
"mornimont, belgium",4,"(4.7043225, 50.4563509)"
"gembloux, belgium",3,"(4.6919813, 50.5600392)"
"hastiere-lavaux, belgium",3,"(4.824549999999999, 50.2183)"
"felenne, belgium",3,"(4.849133699999999, 50.0681342)"
"ecaussinnes-d'enghien, belgium",3,"(4.1538788, 50.5608812)"
"ohey, belgium",3,"(5.1237479, 50.43563469999999)"
"liege, belgium",3,"(5.569749799999999, 50.63295859999999)"
"franiere, belgium",3,"(4.7328, 50.43592)"
"matagne-la-petite, belgium",3,"(4.638, 50.11684)"
"tongrinne, belgium",3,"(4.6253, 50.5155)"
"crombach, belgium",3,"(6.068955, 50.2594213)"
"buzet, belgium",3,"(4.3667175, 50.53810319999999)"
"havelange, belgium",3,"(5.2381899, 50.3895393)"
"belgrade, belgium",3,"(4.825648699999999, 50.47070189999999)"
"branchon, belgium",3,"(4.971115000000001, 50.629102)"
"moustier-sur-sambre, belgium",3,"(4.6944478, 50.4568755)"
"paliseul, belgium",3,"(5.1350538, 49.9033848)"
"achene, belgium",3,"(5.045634199999999, 50.2666792)"
"chimay, belgium",3,"(4.3146556, 50.0476421)"
"villers-en-fagne, belgium",3,"(4.58566, 50.14721)"
"courcelles, belgium",3,"(4.333294599999999, 50.4633104)"
"neuville, belgium",2,"(4.51452, 50.17249)"
"moeskroen, belgium",2,"(3.2138924, 50.7430519)"
"neerheylissem, belgium",2,"(4.9872002, 50.7551532)"
"noiseux, belgium",2,"(5.3746071, 50.2991028)"
"membre, belgium",2,"(4.9019226, 49.8657061)"
"marcinelle, belgium",2,"(4.4276538, 50.39526900000001)"
"montigny-le-tilleul, belgium",2,"(4.374504, 50.38082929999999)"
"oupeye, belgium",2,"(5.6439897, 50.7093251)"
"maredret, belgium",2,"(4.74704, 50.30028)"
"senzeille, belgium",2,"(4.4646004, 50.176804)"
"taviers, belgium",2,"(4.93154, 50.61733)"
"yves-gomezee, belgium",2,"(4.4936392, 50.2390518)"
"wepion, belgium",2,"(4.8633172, 50.421206)"
"weillen, belgium",2,"(4.8251335, 50.2605516)"
"wasseiges, belgium",2,"(5.0055311, 50.62271980000001)"
"waremme, belgium",2,"(5.2600869, 50.69814359999999)"
"wandre, belgium",2,"(5.65883, 50.66715)"
"villers-le-gambon, belgium",2,"(4.60944, 50.19129)"
"velaine-sur-sambre, belgium",2,"(4.61402, 50.4674)"
"vedrin, belgium",2,"(4.876087699999999, 50.5022173)"
"tournai, belgium",2,"(3.3880967, 50.6055398)"
"thon, belgium",2,"(5.0145871, 50.4633535)"
"tarcienne, belgium",2,"(4.49637, 50.3116)"
"profondeville, belgium",2,"(4.8040854, 50.3875125)"
"stave, belgium",2,"(4.65924, 50.28002)"
"spontin, belgium",2,"(5.00575, 50.32233)"
"soulme, belgium",2,"(4.73735, 50.18873)"
"sorinnes, belgium",2,"(4.978924300000001, 50.25924639999999)"
"sombreffe, belgium",2,"(4.6110213, 50.5251141)"
"saint-nicolas, belgium",2,"(5.520277999999999, 50.6383733)"
"roux, belgium",2,"(4.3859913, 50.4411759)"
"romeree, belgium",2,"(4.67538, 50.13585)"
"rochefort, belgium",2,"(5.221546, 50.16035609999999)"
"riviere, belgium",2,"(4.87453, 50.35655)"
"macquenoise, belgium",2,"(4.17862, 49.97559)"
"hermeton-sur-meuse, belgium",2,"(4.81672, 50.19776)"
"andrimont, belgium",2,"(5.8844864, 50.6139966)"
"fosses-la-ville, belgium",2,"(4.6960707, 50.3945192)"
"forchies-la-marche, belgium",2,"(4.32036, 50.43664)"
"denee, belgium",2,"(4.75223, 50.31862)"
"florennes, belgium",2,"(4.6047505, 50.2507458)"
"brugelette, belgium",2,"(3.8545171, 50.5993089)"
"dhuy, belgium",2,"(4.8593, 50.55963999999999)"
"boncelles, belgium",2,"(5.536467099999999, 50.5709023)"
"gerin, belgium",2,"(4.8161879, 50.2460666)"
"faulx-les-tombes, belgium",2,"(5.02089, 50.42693)"
"ben-ahin, belgium",2,"(5.1852407, 50.5019819)"
"evrehailles, belgium",2,"(4.912059999999999, 50.32046)"
"erpent, belgium",2,"(4.9050011, 50.4516025)"
"ernage, belgium",2,"(4.6719178, 50.5923601)"
"berzèe, belgium",2,"(4.401510000000001, 50.28867)"
"bierges, belgium",2,"(4.587168399999999, 50.7113795)"
"eghezèe, belgium",2,"(4.912777699999999, 50.5914387)"
"gerompont, belgium",2,"(4.88169, 50.64847)"
"gesves, belgium",2,"(5.0698435, 50.407129)"
"leuze, belgium",2,"(3.6264718, 50.6000761)"
"aische-en-refail, belgium",2,"(4.83819, 50.59948)"
"aiseau, belgium",2,"(4.58644, 50.41114)"
"jemeppe-sur-sambre, belgium",2,"(4.6687027, 50.4660855)"
"hotton, belgium",2,"(5.447280399999999, 50.268395)"
"conjoux, belgium",2,"(5.0598, 50.23887)"
"hingeon, belgium",2,"(5.00687, 50.52545)"
"alleur, belgium",2,"(5.51338, 50.67434)"
"hanret, belgium",2,"(4.94767, 50.58092)"
"grand-manil, belgium",2,"(4.675479999999999, 50.55707)"
"grand-leez, belgium",2,"(4.77469, 50.58374)"
"godinne, belgium",2,"(4.87325, 50.34788)"
"bouvignes-sur-meuse, belgium",1,"(4.89926, 50.2721114)"
"bohan, belgium",1,"(4.8853198, 49.8635093)"
"antheit, belgium",1,"(5.2403601, 50.5489545)"
"beauraing, belgium",1,"(4.9553711, 50.1101777)"
"basse-bodeux, belgium",1,"(5.8305234, 50.3565744)"
"bas-oha, belgium",1,"(5.1908989, 50.5262731)"
"avins, belgium",1,"(5.301601499999999, 50.41610660000001)"
"cognelèe, belgium",1,"(4.907071200000001, 50.5148464)"
"anthee, belgium",1,"(4.7612111, 50.2400205)"
"wellin, belgium",1,"(5.1137497, 50.0819799)"
"buissonville, belgium",1,"(5.201860000000001, 50.2164)"
