new_municipality,cardiac_arrests_number,points_coordinates
"leuven, belgium",165,"(4.7137645, 50.8822871)"
"tienen, belgium",74,"(4.937104499999999, 50.8096628)"
"zaventem, belgium",55,"(4.4727595, 50.8798215)"
"vilvoorde, belgium",52,"(4.4258375, 50.926454)"
"dilbeek, belgium",49,"(4.2756162, 50.8449649)"
"halle, belgium",48,"(4.2337053, 50.7381601)"
"aarschot, belgium",48,"(4.836879, 50.9877846)"
"sint-pieters-leeuw, belgium",47,"(4.245613, 50.780993)"
"grimbergen, belgium",44,"(4.3732334, 50.93360449999999)"
"overijse, belgium",43,"(4.5342712, 50.7708411)"
"asse, belgium",40,"(4.200385799999999, 50.9106775)"
"diest, belgium",40,"(5.0555869, 50.979655)"
"haacht, belgium",35,"(4.6339895, 50.9770224)"
"scherpenheuvel-zichem, belgium",30,"(4.9753544, 50.9800833)"
"merchtem, belgium",30,"(4.2324226, 50.9584729)"
"meise, belgium",29,"(4.329669, 50.9355319)"
"sint-genesius-rode, belgium",29,"(4.3552963, 50.7455947)"
"machelen, belgium",27,"(4.433286499999999, 50.9128001)"
"kortenberg, belgium",27,"(4.5441288, 50.8883868)"
"landen, belgium",24,"(5.0813206, 50.7547714)"
"lubbeek, belgium",23,"(4.8411415, 50.88171939999999)"
"hoeilaart, belgium",22,"(4.4742969, 50.7675858)"
"tremelo, belgium",22,"(4.7051874, 50.9919007)"
"rotselaar, belgium",22,"(4.716218, 50.9537491)"
"zoutleeuw, belgium",22,"(5.1045004, 50.8323115)"
"beersel, belgium",20,"(4.3080603, 50.7670513)"
"liedekerke, belgium",19,"(4.087712199999999, 50.8692265)"
"galmaarden, belgium",18,"(3.9710088, 50.7529096)"
"affligem, belgium",18,"(4.1117173, 50.9125413)"
"roosdaal, belgium",18,"(4.0760675, 50.842885)"
"londerzeel, belgium",18,"(4.3025851, 51.00470079999999)"
"wezembeek-oppem, belgium",17,"(4.4936075, 50.8399611)"
"herent, belgium",17,"(4.677376499999999, 50.9092587)"
"kapelle-op-den-bos, belgium",15,"(4.3608698, 51.0111095)"
"ternat, belgium",15,"(4.1609053, 50.86993409999999)"
"opwijk, belgium",14,"(4.1800657, 50.9696721)"
"zemst, belgium",14,"(4.4599908, 50.9801617)"
"tielt-winge, belgium",14,"(4.9092327, 50.9363166)"
"steenokkerzeel, belgium",14,"(4.5127344, 50.9101884)"
"wemmel, belgium",13,"(4.3065753, 50.9077704)"
"kraainem, belgium",13,"(4.457452300000001, 50.86178100000001)"
"begijnendijk, belgium",12,"(4.7827948, 51.0187676)"
"huldenberg, belgium",12,"(4.5831647, 50.7894337)"
"lennik, belgium",12,"(4.1545887, 50.80529929999999)"
"glabbeek, belgium",11,"(4.955757, 50.872929)"
"linter, belgium",11,"(5.0534092, 50.84714839999999)"
"boortmeerbeek, belgium",11,"(4.5611679, 50.9760115)"
"holsbeek, belgium",11,"(4.8076661, 50.9257196)"
"bever, belgium",10,"(3.9407363, 50.71681840000001)"
"oud-heverlee, belgium",10,"(4.7021275, 50.826001)"
"kampenhout, belgium",10,"(4.555153199999999, 50.9398455)"
"tervuren, belgium",8,"(4.5081065, 50.8254692)"
"herne, belgium",8,"(4.0280349, 50.7247718)"
"gooik, belgium",8,"(4.1171215, 50.795315)"
"hoegaarden, belgium",8,"(4.8873881, 50.7741677)"
"kortenaken, belgium",8,"(5.0600315, 50.9091318)"
"keerbergen, belgium",8,"(4.6323148, 51.0030408)"
"boutersem, belgium",6,"(4.8347718, 50.8410698)"
"drogenbos, belgium",6,"(4.3172707, 50.7872348)"
"geetbets, belgium",6,"(5.112621, 50.89432739999999)"
"bierbeek, belgium",4,"(4.7561577, 50.8276692)"
"bertem, belgium",4,"(4.6308598, 50.8658788)"
"linkebeek, belgium",4,"(4.332298199999999, 50.7721895)"
"bekkevoort, belgium",1,"(4.975183299999999, 50.9447653)"
